POISSON BOLTZMANN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
67,498.9622,1463.826,-1108.8085,0.0,0.0,0.0,-1253.3479,-16120.5414,596.9337,11732.1462,-1946.8946,40.6031,0.0,-4190.8297,-1906.2915,-6097.1212
68,547.0409,1409.2453,-1057.4894,0.0,0.0,0.0,-1310.9898,-16289.073,599.1024,11793.94,-1828.0139,39.6274,0.0,-4308.223599999999,-1788.3864999999998,-6096.610099999999
69,508.0569,1430.7352,-1081.4424,0.0,0.0,0.0,-1299.5794,-15965.5313,614.6597,11727.5917,-2069.0004,40.2769,0.0,-4065.5095999999976,-2028.7234999999998,-6094.233099999998
70,516.9974,1421.1013,-1087.794,0.0,0.0,0.0,-1284.734,-16239.296,610.9053,11779.4663,-1924.3033,41.2439,0.0,-4283.3537000000015,-1883.0594,-6166.413100000001
71,525.3283,1438.4479,-1080.6511,0.0,0.0,0.0,-1287.3708,-16007.1672,628.1448,11770.3632,-2066.6483,40.8272,0.0,-4012.9048999999995,-2025.8211,-6038.726
72,527.294,1478.1597,-1094.9416,0.0,0.0,0.0,-1292.5958,-15969.8662,614.6144,11720.0142,-2055.3604,41.2485,0.0,-4017.3212999999996,-2014.1119,-6031.4331999999995
73,515.4622,1472.9658,-1118.2594,0.0,0.0,0.0,-1262.6092,-16155.9803,595.4032,11731.9172,-1911.5942,40.0608,0.0,-4221.1005000000005,-1871.5334,-6092.6339
74,508.8837,1389.7253,-1082.7689,0.0,0.0,0.0,-1269.6073,-16266.8317,628.7648,11823.4447,-1886.7779,40.5597,0.0,-4268.3894,-1846.2182,-6114.6076
75,488.9826,1436.5557,-1085.1078,0.0,0.0,0.0,-1241.7946,-16070.9953,613.5683,11814.7961,-2065.7664,41.1556,0.0,-4043.995000000001,-2024.6108,-6068.605800000001
76,502.1743,1453.0435,-1085.9512,0.0,0.0,0.0,-1292.8912,-16095.9384,622.5357,11809.2003,-2042.8444,40.3748,0.0,-4087.8269999999975,-2002.4696,-6090.296599999998
77,487.319,1436.44,-1091.4379,0.0,0.0,0.0,-1266.47,-16067.8133,615.4805,11773.4856,-2015.5067,41.5407,0.0,-4112.9960999999985,-1973.966,-6086.962099999999
78,540.835,1381.7724,-1074.5543,0.0,0.0,0.0,-1317.4111,-16072.5754,604.704,11761.4674,-1997.3302,40.1139,0.0,-4175.761999999999,-1957.2163,-6132.978299999999
79,542.5128,1400.6159,-1128.5768,0.0,0.0,0.0,-1269.7019,-16119.494,617.6273,11708.962,-1865.9835,41.0514,0.0,-4248.054700000001,-1824.9321,-6072.986800000001
80,493.8347,1381.4803,-1088.6442,0.0,0.0,0.0,-1285.6495,-16037.5263,616.8134,11728.2438,-1999.6051,40.6811,0.0,-4191.447800000002,-1958.924,-6150.371800000002
81,486.0051,1409.46,-1122.8323,0.0,0.0,0.0,-1298.6356,-16002.1809,620.7164,11735.669,-2027.1517,40.0764,0.0,-4171.798299999999,-1987.0753,-6158.873599999999
82,527.6334,1389.4442,-1080.3469,0.0,0.0,0.0,-1289.0648,-16178.3434,599.0451,11717.396,-1856.9192,39.2573,0.0,-4314.236399999998,-1817.6619,-6131.898299999998
83,505.1734,1397.5077,-1112.6512,0.0,0.0,0.0,-1252.2647,-16251.9364,596.8803,11754.793,-1877.4439,40.7132,0.0,-4362.4979,-1836.7307,-6199.2286
84,526.377,1410.9846,-1077.8799,0.0,0.0,0.0,-1281.9381,-16213.7619,607.1727,11802.4671,-1867.7034,39.6493,0.0,-4226.578500000001,-1828.0541,-6054.632600000002
85,539.9496,1413.6333,-1120.2446,0.0,0.0,0.0,-1268.667,-16152.2822,603.3211,11696.6973,-1861.3903,39.0672,0.0,-4287.592500000001,-1822.3231,-6109.9156
86,500.2546,1411.1492,-1110.0998,0.0,0.0,0.0,-1285.9636,-16235.2614,607.1072,11836.0066,-1877.3917,39.6271,0.0,-4276.8071999999975,-1837.7646,-6114.571799999998
87,506.0925,1447.4765,-1106.6285,0.0,0.0,0.0,-1289.3198,-16189.6854,599.0242,11749.7576,-1842.5272,39.836,0.0,-4283.282899999998,-1802.6912,-6085.9740999999985
88,530.2423,1393.7595,-1102.0995,0.0,0.0,0.0,-1282.494,-16049.1957,596.5079,11806.7171,-2044.9438,41.2253,0.0,-4106.562400000001,-2003.7185,-6110.280900000001
89,509.397,1374.7388,-1102.7877,0.0,0.0,0.0,-1283.6556,-16167.9493,617.3734,11817.1071,-1962.6176,40.492,0.0,-4235.7762999999995,-1922.1256,-6157.901899999999
90,519.6132,1434.3801,-1096.7377,0.0,0.0,0.0,-1255.9212,-16210.0682,606.4832,11723.8881,-1886.0905,40.4945,0.0,-4278.362499999997,-1845.596,-6123.958499999998
91,490.6134,1416.485,-1107.4142,0.0,0.0,0.0,-1280.8736,-16105.7451,601.6741,11774.6628,-1981.747,39.5973,0.0,-4210.597599999999,-1942.1497000000002,-6152.747299999999
92,497.5965,1450.1055,-1097.966,0.0,0.0,0.0,-1281.1106,-16156.685,604.2492,11763.119,-1933.9896,41.0234,0.0,-4220.6914,-1892.9662,-6113.6576
93,530.3995,1468.9334,-1108.9368,0.0,0.0,0.0,-1286.9808,-16004.326,583.8878,11734.3803,-2057.954,40.8621,0.0,-4082.642599999999,-2017.0919000000001,-6099.734499999999
94,535.075,1417.3462,-1060.5358,0.0,0.0,0.0,-1271.656,-16088.0178,612.9024,11741.2332,-1992.3312,40.9025,0.0,-4113.652800000002,-1951.4287000000002,-6065.081500000002
95,517.4295,1398.0502,-1112.8566,0.0,0.0,0.0,-1260.8833,-16109.5545,597.4897,11745.5515,-1964.91,40.2228,0.0,-4224.773499999999,-1924.6872,-6149.4607
96,525.7812,1455.4252,-1081.7646,0.0,0.0,0.0,-1274.7913,-16143.0553,626.6617,11785.2874,-1980.4001,40.9357,0.0,-4106.4557,-1939.4644,-6045.9201
97,519.0581,1414.3064,-1076.4717,0.0,0.0,0.0,-1295.1251,-15996.6118,597.1335,11790.0913,-2081.5119,41.0959,0.0,-4047.619300000002,-2040.416,-6088.035300000001
98,505.8074,1424.2614,-1094.94,0.0,0.0,0.0,-1261.8172,-16066.9911,611.2878,11819.1859,-2059.3468,40.5622,0.0,-4063.205799999998,-2018.7845999999997,-6081.990399999997
99,464.9649,1415.0294,-1095.9301,0.0,0.0,0.0,-1285.5247,-16136.2839,607.811,11813.29,-1985.1114,39.5479,0.0,-4216.643399999999,-1945.5635,-6162.206899999999
100,518.0595,1411.939,-1078.3162,0.0,0.0,0.0,-1285.3872,-16087.3254,588.3947,11703.6153,-1975.1047,39.828,0.0,-4229.020299999998,-1935.2767000000001,-6164.296999999998
101,504.6943,1411.8131,-1071.4031,0.0,0.0,0.0,-1288.597,-16044.44,604.6245,11794.5774,-2046.0882,40.4875,0.0,-4088.730800000001,-2005.6007,-6094.331500000001
102,539.7032,1398.5849,-1083.9934,0.0,0.0,0.0,-1281.0649,-16166.7379,590.9663,11789.6912,-1911.5994,40.2804,0.0,-4212.8506,-1871.319,-6084.1696
103,485.7292,1403.391,-1072.7444,0.0,0.0,0.0,-1288.1016,-16168.7947,608.0952,11774.217,-1929.81,39.2936,0.0,-4258.208299999998,-1890.5164,-6148.724699999998
104,466.8347,1458.4847,-1102.751,0.0,0.0,0.0,-1285.9126,-16173.3697,616.8118,11828.6872,-1977.8535,40.0709,0.0,-4191.214899999999,-1937.7826,-6128.9974999999995
105,488.997,1453.5825,-1092.01,0.0,0.0,0.0,-1277.493,-16247.1048,602.707,11823.7881,-1869.1353,38.9874,0.0,-4247.533199999998,-1830.1479,-6077.681099999998
106,535.0352,1383.6891,-1107.8707,0.0,0.0,0.0,-1262.9247,-16092.8029,600.7867,11768.0401,-2033.0492,39.579,0.0,-4176.047199999999,-1993.4702,-6169.517399999999
107,519.6602,1423.8078,-1095.4853,0.0,0.0,0.0,-1288.5677,-16033.2731,598.7142,11790.3914,-2055.9932,39.5194,0.0,-4084.7525000000005,-2016.4738,-6101.2263
108,502.4484,1434.4669,-1068.2061,0.0,0.0,0.0,-1277.6555,-16049.8159,616.3964,11796.1534,-2078.0554,41.0852,0.0,-4046.212400000002,-2036.9702000000002,-6083.182600000002
109,485.7134,1441.8189,-1101.0895,0.0,0.0,0.0,-1278.1131,-16230.275,631.7684,11870.9388,-1928.9314,39.8128,0.0,-4179.238099999999,-1889.1186,-6068.356699999998
110,504.0112,1442.319,-1094.348,0.0,0.0,0.0,-1284.5153,-16251.0748,610.3843,11806.3462,-1900.5337,40.1445,0.0,-4266.877399999999,-1860.3891999999998,-6127.266599999999
111,482.6983,1460.1878,-1074.9897,0.0,0.0,0.0,-1268.9381,-16109.5347,599.942,11791.1823,-2015.1661,41.2602,0.0,-4119.452100000002,-1973.9059,-6093.358000000003
112,510.9999,1420.7451,-1097.0497,0.0,0.0,0.0,-1265.2549,-16136.6788,612.3243,11772.4723,-1953.9341,40.2114,0.0,-4182.441799999999,-1913.7227,-6096.164499999999
113,521.0707,1430.8706,-1111.0205,0.0,0.0,0.0,-1275.702,-16059.1347,600.9834,11801.5435,-2057.1294,40.667,0.0,-4091.389000000001,-2016.4624,-6107.8514000000005
114,516.1468,1421.4626,-1083.8001,0.0,0.0,0.0,-1293.8014,-15971.1619,610.5049,11816.4166,-2101.5109,40.7351,0.0,-3984.2324999999983,-2060.7758000000003,-6045.008299999999
115,489.062,1409.6072,-1088.2122,0.0,0.0,0.0,-1270.5336,-15899.3376,605.8187,11847.1591,-2225.2659,41.1673,0.0,-3906.4364000000005,-2184.0986,-6090.535000000001
116,482.4102,1365.944,-1084.1957,0.0,0.0,0.0,-1288.4813,-16114.2572,627.9952,11792.2928,-1968.629,40.2125,0.0,-4218.292000000003,-1928.4164999999998,-6146.708500000003
117,487.6577,1392.1523,-1063.8134,0.0,0.0,0.0,-1270.4267,-16087.933,623.2319,11784.4499,-2019.6391,40.4777,0.0,-4134.681300000002,-1979.1614000000002,-6113.842700000002
118,523.0658,1452.9623,-1100.2231,0.0,0.0,0.0,-1265.1313,-15967.0395,596.6445,11816.6271,-2156.3579,42.3374,0.0,-3943.0942000000014,-2114.0205,-6057.114700000001
119,491.2171,1406.0805,-1098.0006,0.0,0.0,0.0,-1282.1154,-16058.6257,607.012,11853.5968,-2074.4261,39.9139,0.0,-4080.8353000000006,-2034.5122000000001,-6115.347500000002
120,503.9451,1351.386,-1103.4703,0.0,0.0,0.0,-1257.0134,-16087.0168,614.951,11824.2988,-2061.5248,39.8086,0.0,-4152.919599999997,-2021.7162,-6174.635799999997
121,508.8981,1412.9522,-1095.8792,0.0,0.0,0.0,-1274.9921,-16179.6183,607.6576,11778.2446,-1930.4926,40.0757,0.0,-4242.7370999999985,-1890.4169,-6133.153999999998
122,500.4249,1446.0626,-1094.0514,0.0,0.0,0.0,-1272.0881,-16091.0235,610.4973,11764.1961,-1992.592,40.376,0.0,-4135.982099999999,-1952.2160000000001,-6088.1981
123,512.7165,1429.7328,-1087.881,0.0,0.0,0.0,-1296.6845,-16082.8506,591.7379,11776.0224,-1957.3907,39.6834,0.0,-4157.206499999998,-1917.7073,-6074.913799999998
124,468.1586,1457.9917,-1089.3885,0.0,0.0,0.0,-1279.7248,-16049.3561,622.1527,11785.6593,-2038.6614,40.2812,0.0,-4084.5071000000007,-1998.3802,-6082.8873
125,485.3452,1454.8821,-1104.3711,0.0,0.0,0.0,-1248.3067,-16138.0465,611.4899,11783.3659,-1954.5545,40.0088,0.0,-4155.641199999998,-1914.5457,-6070.186899999999
126,501.5048,1401.6506,-1076.1791,0.0,0.0,0.0,-1277.1053,-16138.258,627.4198,11791.4877,-1949.9368,40.8753,0.0,-4169.4794999999995,-1909.0615,-6078.540999999999
127,510.6078,1439.5094,-1097.0651,0.0,0.0,0.0,-1264.0908,-16069.0349,610.7632,11748.181,-1991.0373,39.6368,0.0,-4121.1294,-1951.4005,-6072.5298999999995
128,490.9771,1459.8229,-1060.3464,0.0,0.0,0.0,-1285.2378,-16044.7612,623.2773,11790.8049,-2079.021,40.4039,0.0,-4025.463200000004,-2038.6171000000002,-6064.080300000004
129,480.9151,1422.5562,-1088.3192,0.0,0.0,0.0,-1272.7122,-16052.0749,615.5072,11776.5173,-2047.6702,40.8186,0.0,-4117.610499999999,-2006.8516,-6124.4621
